first,second,third,freq
professor,mcgonagall,said,2263
defense,dark,arts,1893
dark,arts,professor,1539
professor,snape,said,1300
said,professor,mcgonagall,1206
professor,dumbledore,said,1171
defence,dark,arts,1014
professor,severus,snape,910
professor,harry,said,871
professor,snape,would,772
professor,mcgonagall,asked,722
professor,mcgonagall,office,676
professor,mcgonagall,looked,597
care,magical,creatures,566
professor,mcgonagall,told,559
professor,grubbly,plank,534
professor,snape,harry,520
professor,mcgonagall,professor,510
professor,mcgonagall,came,473
see,professor,snape,462
professor,dumbledore,office,460
see,professor,mcgonagall,451
dark,arts,teacher,450
professor,mcgonagall,would,450
professor,dumbledore,would,445
professor,lupin,said,436
good,morning,professor,427
see,professor,dumbledore,413
professor,dumbledore,told,408
said,professor,dumbledore,395
good,evening,professor,394
professor,mcgonagall,called,386
said,professor,snape,384
professor,snape,office,380
school,witchcraft,wizardry,366
professor,mcgonagall,stood,364
hogwarts,school,witchcraft,360
professor,hermione,said,359
like,professor,snape,339
professor,snape,professor,338
know,professor,snape,325
professor,flitwick,said,323
new,defense,dark,319
professor,dumbledore,asked,319
professor,mcgonagall,gave,316
muggle,studies,professor,315
asked,professor,mcgonagall,312
professor,dumbledore,professor,312
professor,mcgonagall,voice,308
professor,snape,told,306
professor,snape,looked,306
professor,minerva,mcgonagall,300
professor,snape,could,295
think,professor,snape,293
dumbledore,professor,mcgonagall,293
professor,said,harry,290
saw,professor,mcgonagall,282
saw,professor,snape,275
professor,mcgonagall,nodded,273
magical,creatures,professor,268
professor,dumbledore,stood,268
tell,professor,snape,265
professor,sprout,said,263
tell,professor,mcgonagall,257
professor,mcgonagall,walked,257
said,professor,lupin,256
professor,snape,asked,251
professor,snape,came,245
professor,mcgonagall,turned,244
ask,professor,snape,240
professor,mcgonagall,harry,236
said,professor,desulgon,234
harry,professor,snape,231
professor,mcgonagall,standing,230
thank,professor,said,229
like,professor,mcgonagall,229
professor,dumbledore,harry,227
head,slytherin,house,226
good,afternoon,professor,226
madam,pomfrey,professor,224
even,professor,snape,223
professor,albus,dumbledore,222
good,night,professor,219
professor,snape,hermione,218
yes,professor,snape,216
professor,mcgonagall,could,216
professor,slughorn,said,215
professor,snape,made,213
mr,potter,professor,208
miss,granger,professor,207
professor,mcgonagall,took,205
looked,professor,mcgonagall,204
harry,professor,mcgonagall,202
head,gryffindor,house,200
professor,snape,gave,200
professor,remus,lupin,199
new,dada,professor,198
even,professor,mcgonagall,198
tell,professor,dumbledore,198
talk,professor,mcgonagall,191
professor,dumbledore,sir,191
harry,professor,dumbledore,191
detention,professor,snape,191
ask,professor,mcgonagall,190
professor,mcgonagall,stepped,190
head,house,professor,189
professor,snape,stood,189
heard,professor,mcgonagall,182
asked,professor,snape,182
said,professor,umbridge,181
talk,professor,snape,180
former,potions,professor,180
back,professor,mcgonagall,179
yes,professor,said,178
professor,dumbledore,looked,177
professor,snape,one,176
told,professor,mcgonagall,176
get,professor,snape,175
sure,professor,snape,174
professor,snape,standing,174
professor,mcgonagall,entered,173
professor,snape,still,173
professor,snape,going,172
know,professor,dumbledore,172
professor,mcgonagall,made,172
potter,professor,mcgonagall,172
professor,flitwick,professor,171
talk,professor,dumbledore,171
followed,professor,mcgonagall,170
harry,ron,hermione,167
professor,mcgonagall,smiled,167
dumbledore,professor,snape,165
professor,snape,potions,165
professor,mcgonagall,looking,164
professor,snape,know,163
history,magic,professor,163
heard,professor,snape,162
professor,mcgonagall,began,160
said,professor,flitwick,159
sorry,professor,said,158
turned,see,professor,158
could,see,professor,157
go,see,professor,157
took,deep,breath,156
professor,snape,sir,155
professor,longbottom,said,154
new,defence,dark,152
new,defense,professor,151
thank,professor,snape,151
professor,mcgonagall,hermione,151
great,hall,professor,150
potions,professor,snape,149
yes,professor,harry,149
find,professor,snape,149
professor,snape,took,149
professor,mcgonagall,continued,149
told,professor,snape,148
professor,harry,replied,148
well,professor,snape,148
professor,mcgonagall,left,147
x,x,x,146
professor,mcgonagall,led,145
professor,mcgonagall,spoke,144
mcgonagall,professor,snape,144
professor,mcgonagall,face,143
thank,professor,harry,143
thought,professor,snape,143
professor,dumbledore,came,143
mad,eye,moody,142
snape,professor,snape,141
professor,snape,seemed,141
professor,mcgonagall,seemed,140
thank,much,professor,140
gryffindor,common,room,140
